,Game,Platform,Hours,earnings,whyplay,League,streams,Age,Work,Degree,Playstyle,SPIN_T,SWL_T,GAD_T,Social_Anxiety,Life_Satisfaction,Anxiety_Level,Narcissism,Residence,Birthplace,Residence_ISO3,Birthplace_ISO3
6130,League of Legends,PC,10.0,I play for fun,having fun,Gold,0.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,2.0,28,1,None,Dissatisfied,Minimal Anxiety,1.0,Germany,Germany,DEU,DEU
6139,League of Legends,PC,15.0,I play for fun,having fun,Silver,7.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,34.0,25,3,Moderate,Slightly Dissatisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
6148,League of Legends,PC,15.0,I play for fun,improving,Platinum,4.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,32.0,22,5,Moderate,Slightly Dissatisfied,Mild Anxiety,2.0,Venezuela,Venezuela,VEN,VEN
6158,League of Legends,PC,50.0,I play for fun,having fun,Platinum,2.0,19,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,22.0,16,8,Mild,Slightly Satisfied,Mild Anxiety,2.0,Norway,Norway,NOR,NOR
6161,League of Legends,PC,20.0,I play for fun,having fun,Platinum,5.0,24,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,37.0,16,7,Moderate,Slightly Satisfied,Mild Anxiety,1.0,USA,USA,USA,USA
6172,League of Legends,PC,16.0,I play for fun,having fun,Silver,16.0,18,Student at school,None,Multiplayer - online - with real life friends,13.0,19,4,None,Slightly Satisfied,Minimal Anxiety,3.0,USA,USA,USA,USA
6176,League of Legends,PC,30.0,I play for fun,having fun,Silver,30.0,21,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,38.0,17,4,Moderate,Slightly Satisfied,Minimal Anxiety,2.0,Sweden,Sweden,SWE,SWE
6182,League of Legends,PC,42.0,I play for fun,having fun,Platinum,25.0,19,Student at school,None,Multiplayer - online - with strangers,28.0,23,4,Mild,Slightly Dissatisfied,Minimal Anxiety,2.0,Netherlands,Netherlands,NLD,NLD
6189,League of Legends,PC,20.0,I play for fun,relaxing,Platinum,6.0,18,Student at college / university,None,Multiplayer - online - with real life friends,10.0,34,0,None,Extremely Dissatisfied,Minimal Anxiety,2.0,UK,UK,GBR,GBR
6190,League of Legends,PC,15.0,I play for fun,having fun,Platinum,2.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,7.0,15,3,None,Slightly Satisfied,Minimal Anxiety,2.0,Belgium,Belgium,BEL,BEL
6197,Other,PC,30.0,I play for fun,improving,Platinum,10.0,22,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,22.0,10,1,Mild,Satisfied,Minimal Anxiety,4.0,France,France,FRA,FRA
6199,League of Legends,PC,5.0,I play for fun,having fun,Platinum,10.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,33.0,12,0,Moderate,Satisfied,Minimal Anxiety,2.0,USA,South Korea,USA,KOR
6205,League of Legends,PC,40.0,I play for fun,improving,Platinum,15.0,23,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with real life friends,24.0,5,4,Mild,Extremely Satisfied,Minimal Anxiety,4.0,UK,UK,GBR,GBR
6209,League of Legends,PC,40.0,I play for fun,improving,Diamond,3.0,20,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with strangers,3.0,22,4,None,Slightly Dissatisfied,Minimal Anxiety,4.0,Poland,Poland,POL,POL
6214,League of Legends,PC,6.0,I play for fun,improving,Platinum,2.0,23,Unemployed / between jobs,Master (or equivalent),Multiplayer - online - with real life friends,33.0,18,2,Moderate,Slightly Satisfied,Minimal Anxiety,1.0,France,France,FRA,FRA
6216,League of Legends,PC,25.0,I play for fun,winning,Silver,15.0,29,Unemployed / between jobs,None,Multiplayer - online - with real life friends,15.0,5,12,None,Extremely Satisfied,Moderate Anxiety,1.0,USA,Dominican Republic,USA,DOM
6219,League of Legends,PC,30.0,I play for fun,having fun,Bronze,5.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with real life friends,16.0,21,3,None,Slightly Dissatisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
6224,League of Legends,PC,10.0,I play for fun,having fun,Silver,10.0,25,Student at college / university,Master (or equivalent),Multiplayer - online - with real life friends,18.0,23,6,None,Slightly Dissatisfied,Mild Anxiety,2.0,Sweden,Sweden,SWE,SWE
6233,League of Legends,PC,16.0,I play for fun,winning,Gold,35.0,22,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,3.0,12,6,None,Satisfied,Mild Anxiety,2.0,Serbia,Serbia,SRB,SRB
6246,League of Legends,PC,30.0,I play for fun,improving,Diamond,0.0,25,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,16.0,8,7,None,Extremely Satisfied,Mild Anxiety,1.0,Croatia,Unknown,HRV,
6248,League of Legends,PC,20.0,I play for fun,having fun,Gold,20.0,23,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,14.0,18,5,None,Slightly Satisfied,Mild Anxiety,2.0,Canada,Canada,CAN,CAN
6261,League of Legends,PC,9.0,I play for fun,improving,Diamond,18.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,12.0,20,2,None,Neutral,Minimal Anxiety,4.0,Colombia,Colombia,COL,COL
6271,League of Legends,PC,10.0,I play for fun,improving,Silver,5.0,23,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,7.0,16,3,None,Slightly Satisfied,Minimal Anxiety,3.0,Canada,Canada,CAN,CAN
6278,League of Legends,PC,20.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Diamond,10.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,14.0,21,2,None,Slightly Dissatisfied,Minimal Anxiety,2.0,Netherlands,Netherlands,NLD,NLD
6288,League of Legends,PC,9.0,I play for fun,improving,Diamond,18.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,12.0,20,2,None,Neutral,Minimal Anxiety,4.0,Colombia,Colombia,COL,COL
6290,League of Legends,PC,9.0,I play for fun,improving,Diamond,18.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,12.0,20,2,None,Neutral,Minimal Anxiety,4.0,Colombia,Colombia,COL,COL
6293,League of Legends,PC,50.0,I play for fun,improving,Platinum,5.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,41.0,5,4,Severe,Extremely Satisfied,Minimal Anxiety,1.0,Estonia,Estonia,EST,EST
6300,League of Legends,PC,40.0,I play for fun,having fun,Platinum,20.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,35.0,20,7,Moderate,Neutral,Mild Anxiety,1.0,Poland,Poland,POL,POL
6315,League of Legends,PC,20.0,I play for fun,having fun,Silver,9.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,31.0,24,1,Moderate,Slightly Dissatisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
6317,League of Legends,PC,7.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Diamond,5.0,25,Student at college / university,Master (or equivalent),Multiplayer - online - with online acquaintances or teammates,3.0,23,2,None,Slightly Dissatisfied,Minimal Anxiety,2.0,France,France,FRA,FRA
6334,League of Legends,PC,35.0,I play for fun,improving,Gold,6.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,23.0,16,2,Mild,Slightly Satisfied,Minimal Anxiety,2.0,Netherlands,Netherlands,NLD,NLD
6335,League of Legends,PC,21.0,I play for fun,having fun,Gold,14.0,18,Student at school,None,Multiplayer - online - with real life friends,15.0,17,6,None,Slightly Satisfied,Mild Anxiety,1.0,UK,Germany,GBR,DEU
6337,Other,PC,8.0,I play for fun,having fun,Silver,0.0,26,Employed,Bachelor (or equivalent),Multiplayer - online - with strangers,4.0,15,0,None,Slightly Satisfied,Minimal Anxiety,3.0,Malaysia,Malaysia,MYS,MYS
6350,Other,PC,20.0,I play for fun,improving,Gold,4.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,24.0,21,4,Mild,Slightly Dissatisfied,Minimal Anxiety,3.0,Sweden,Sweden,SWE,SWE
6352,League of Legends,PC,25.0,I play for fun,having fun,Bronze,10.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with strangers,6.0,23,0,None,Slightly Dissatisfied,Minimal Anxiety,2.0,USA,India,USA,IND
6362,League of Legends,PC,20.0,I play for fun,having fun,Gold,4.0,23,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with real life friends,9.0,15,2,None,Slightly Satisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
6364,League of Legends,PC,25.0,I play for fun,having fun,Gold,20.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,16.0,19,5,None,Slightly Satisfied,Mild Anxiety,2.0,Netherlands,Netherlands,NLD,NLD
6370,League of Legends,PC,10.0,I play for fun,having fun,Gold,30.0,21,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,29.0,16,1,Mild,Slightly Satisfied,Minimal Anxiety,1.0,UK,UK,GBR,GBR
6383,League of Legends,PC,70.0,I play for fun,improving,Silver,12.0,18,Student at school,None,Multiplayer - online - with real life friends,24.0,17,2,Mild,Slightly Satisfied,Minimal Anxiety,1.0,Netherlands,Netherlands,NLD,NLD
6390,League of Legends,PC,5.0,I play for fun,improving,Silver,15.0,26,Student at college / university,Master (or equivalent),Multiplayer - online - with strangers,10.0,31,4,None,Extremely Dissatisfied,Minimal Anxiety,2.0,Canada,Canada,CAN,CAN
6396,League of Legends,PC,60.0,I play for fun,improving,Master,4.0,19,Student at school,High school diploma (or equivalent),Multiplayer - online - with strangers,1.0,8,0,None,Extremely Satisfied,Minimal Anxiety,4.0,Sweden,Unknown,SWE,
6405,League of Legends,PC,20.0,I play for fun,winning,Diamond,15.0,18,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,16.0,23,7,None,Slightly Dissatisfied,Mild Anxiety,1.0,Uruguay,Uruguay,URY,URY
6407,League of Legends,PC,15.0,I play for fun,relaxing,Platinum,10.0,24,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,10.0,30,6,None,Dissatisfied,Mild Anxiety,4.0,Denmark,Denmark,DNK,DNK
6413,League of Legends,PC,40.0,I play for fun,having fun,Gold,15.0,20,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,12.0,10,3,None,Satisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
6414,League of Legends,PC,20.0,I play for fun,winning,Silver,3.0,20,Student at school,High school diploma (or equivalent),Singleplayer,48.0,17,14,Severe,Slightly Satisfied,Moderate Anxiety,2.0,Singapore,Singapore,SGP,SGP
6419,League of Legends,PC,40.0,I play for fun,improving,Bronze,60.0,21,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,5.0,23,3,None,Slightly Dissatisfied,Minimal Anxiety,4.0,USA,USA,USA,USA
6424,League of Legends,PC,25.0,I play for fun,winning,Silver,25.0,27,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,21.0,13,4,Mild,Satisfied,Minimal Anxiety,2.0,Romania,Romania,ROU,ROU
6434,League of Legends,PC,8.0,I play for fun,having fun,Bronze,5.0,25,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,10.0,10,10,None,Satisfied,Moderate Anxiety,3.0,USA,USA,USA,USA
6443,League of Legends,PC,30.0,I play for fun,winning,Silver,15.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,17.0,21,2,None,Slightly Dissatisfied,Minimal Anxiety,1.0,USA,Poland,USA,POL
6445,League of Legends,PC,14.0,I play for fun,having fun,Silver,5.0,23,Employed,Bachelor (or equivalent),Multiplayer - online - with real life friends,30.0,19,6,Mild,Slightly Satisfied,Mild Anxiety,1.0,USA,USA,USA,USA
6447,League of Legends,PC,20.0,I play for fun,improving,Diamond,4.0,23,Student at college / university,High school diploma (or equivalent),Singleplayer,27.0,23,1,Mild,Slightly Dissatisfied,Minimal Anxiety,1.0,Czech Republic,Slovakia,CZE,SVK
6449,League of Legends,PC,25.0,I play for fun,improving,Diamond,15.0,23,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,20.0,20,5,None,Neutral,Mild Anxiety,1.0,Hungary,Hungary,HUN,HUN
6455,League of Legends,PC,15.0,I play for fun,improving,Silver,5.0,18,Student at school,None,Multiplayer - online - with online acquaintances or teammates,43.0,7,9,Severe,Extremely Satisfied,Mild Anxiety,4.0,USA,USA,USA,USA
6456,League of Legends,PC,10.0,I play for fun,improving,Bronze,10.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,23.0,26,3,Mild,Dissatisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
6460,Other,PC,35.0,I play for fun,having fun,Gold,20.0,19,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,31.0,21,4,Moderate,Slightly Dissatisfied,Minimal Anxiety,1.0,France,France,FRA,FRA
6467,League of Legends,PC,3.0,I play for fun,having fun,Platinum,0.0,18,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,38.0,24,0,Moderate,Slightly Dissatisfied,Minimal Anxiety,1.0,Canada,Canada,CAN,CAN
6470,League of Legends,PC,10.0,I play for fun,winning,Diamond,2.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,5.0,26,2,None,Dissatisfied,Minimal Anxiety,2.0,Canada,Canada,CAN,CAN
6473,League of Legends,PC,21.0,I play for fun,relaxing,Bronze,5.0,32,Employed,High school diploma (or equivalent),Multiplayer - offline (people in the same room),3.0,25,0,None,Slightly Dissatisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
6477,League of Legends,PC,20.0,I play for fun,improving,Silver,3.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,19.0,28,1,None,Dissatisfied,Minimal Anxiety,3.0,USA,USA,USA,USA
6478,League of Legends,PC,20.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Silver,15.0,18,Student at school,None,Multiplayer - online - with online acquaintances or teammates,10.0,25,1,None,Slightly Dissatisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
6482,League of Legends,PC,10.0,I play for fun,winning,Silver,10.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,33.0,21,6,Moderate,Slightly Dissatisfied,Mild Anxiety,3.0,Argentina,Argentina,ARG,ARG
6493,League of Legends,PC,28.0,I play for fun,improving,Platinum,0.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,5.0,22,1,None,Slightly Dissatisfied,Minimal Anxiety,1.0,South Korea,South Korea,KOR,KOR
6506,League of Legends,PC,20.0,I play for fun,improving,Silver,0.0,19,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,12.0,16,3,None,Slightly Satisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
6511,League of Legends,PC,7.0,I play for fun,having fun,Silver,8.0,25,Employed,Bachelor (or equivalent),Multiplayer - online - with strangers,43.0,14,5,Severe,Satisfied,Mild Anxiety,1.0,USA,USA,USA,USA
6547,League of Legends,PC,25.0,I play for fun,having fun,Gold,10.0,24,,Bachelor (or equivalent),Multiplayer - online - with real life friends,3.0,23,2,None,Slightly Dissatisfied,Minimal Anxiety,2.0,UK,UK,GBR,GBR
6560,League of Legends,PC,25.0,I play for fun,winning,Gold,3.0,19,Student at school,High school diploma (or equivalent),Multiplayer - online - with real life friends,33.0,26,5,Moderate,Dissatisfied,Mild Anxiety,2.0,Canada,China,CAN,CHN
6568,League of Legends,PC,30.0,I play for fun,relaxing,Platinum,7.0,19,Student at school,High school diploma (or equivalent),Multiplayer - online - with real life friends,0.0,15,5,None,Slightly Satisfied,Mild Anxiety,1.0,Germany,Germany,DEU,DEU
6572,League of Legends,PC,20.0,I play for fun,having fun,Platinum,5.0,25,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,30.0,12,9,Mild,Satisfied,Mild Anxiety,1.0,Netherlands,Netherlands,NLD,NLD
6576,League of Legends,PC,8.0,I play for fun,improving,Platinum,20.0,19,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with strangers,11.0,18,2,None,Slightly Satisfied,Minimal Anxiety,2.0,Canada,Canada,CAN,CAN
6621,League of Legends,PC,63.0,I play for fun,having fun,Platinum,14.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,7.0,11,8,None,Satisfied,Mild Anxiety,1.0,Romania,Romania,ROU,ROU
6625,League of Legends,PC,7.0,I play for fun,improving,Diamond,0.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,17.0,21,6,None,Slightly Dissatisfied,Mild Anxiety,2.0,Sweden,Sweden,SWE,SWE
6627,League of Legends,PC,17.0,I play for fun,improving,Silver,10.0,25,Employed,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,43.0,8,21,Severe,Extremely Satisfied, Severe Anxiety,1.0,USA,USA,USA,USA
6629,League of Legends,PC,30.0,I play for fun,winning,Platinum,10.0,25,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,14.0,17,0,None,Slightly Satisfied,Minimal Anxiety,3.0,Germany,Germany,DEU,DEU
6630,League of Legends,PC,10.0,I play for fun,improving,Gold,2.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,45.0,6,17,Severe,Extremely Satisfied, Severe Anxiety,1.0,USA,USA,USA,USA
6641,League of Legends,PC,10.0,I play for fun,having fun,Gold,5.0,18,Student at school,None,Multiplayer - online - with real life friends,20.0,15,6,None,Slightly Satisfied,Mild Anxiety,1.0,USA,USA,USA,USA
6647,League of Legends,PC,28.0,I play for fun,relaxing,Platinum,10.0,22,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,36.0,22,14,Moderate,Slightly Dissatisfied,Moderate Anxiety,3.0,Germany,Germany,DEU,DEU
6657,League of Legends,PC,80.0,I play for fun,winning,Platinum,10.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,0.0,11,2,None,Satisfied,Minimal Anxiety,3.0,UK,UK,GBR,GBR
6659,League of Legends,PC,10.0,I play for fun,having fun,Silver,8.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,8.0,26,1,None,Dissatisfied,Minimal Anxiety,3.0,Germany,Germany,DEU,DEU
6664,League of Legends,PC,15.0,I play for fun,improving,Platinum,4.0,19,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,38.0,13,2,Moderate,Satisfied,Minimal Anxiety,1.0,France,France,FRA,FRA
6666,League of Legends,PC,17.0,I play for fun,improving,Gold,15.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,8.0,16,5,None,Slightly Satisfied,Mild Anxiety,1.0,France,France,FRA,FRA
6676,League of Legends,PC,30.0,I play for fun,having fun,Platinum,10.0,19,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,12.0,14,5,None,Satisfied,Mild Anxiety,1.0,Spain,Spain,ESP,ESP
6678,League of Legends,PC,15.0,I play for fun,relaxing,Gold,2.0,22,Student at college / university,None,Multiplayer - online - with online acquaintances or teammates,12.0,19,4,None,Slightly Satisfied,Minimal Anxiety,3.0,Lithuania,Lithuania,LTU,LTU
6679,League of Legends,PC,14.0,I play for fun,relaxing,Platinum,5.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,49.0,19,15,Severe,Slightly Satisfied, Severe Anxiety,4.0,Poland,Poland,POL,POL
6689,League of Legends,PC,28.0,I play for fun,winning,Platinum,1.0,18,Employed,High school diploma (or equivalent),Multiplayer - online - with strangers,33.0,13,14,Moderate,Satisfied,Moderate Anxiety,1.0,Lithuania,Lithuania,LTU,LTU
6692,League of Legends,PC,24.0,I play for fun,having fun,Platinum,24.0,21,Employed,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,5.0,21,1,None,Slightly Dissatisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
6708,League of Legends,PC,12.0,I play for fun,improving,Gold,10.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,3.0,24,5,None,Slightly Dissatisfied,Mild Anxiety,2.0,USA,USA,USA,USA
6711,League of Legends,PC,21.0,I play for fun,winning,Diamond,21.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,32.0,29,5,Moderate,Dissatisfied,Mild Anxiety,3.0,Canada,Canada,CAN,CAN
6728,League of Legends,PC,10.0,I play for fun,having fun,Gold,25.0,24,Student at college / university,Master (or equivalent),Multiplayer - online - with real life friends,28.0,16,3,Mild,Slightly Satisfied,Minimal Anxiety,5.0,Poland,Poland,POL,POL
6729,League of Legends,PC,4.0,I play for fun,having fun,Platinum,8.0,18,Student at school,None,Multiplayer - online - with real life friends,26.0,21,3,Mild,Slightly Dissatisfied,Minimal Anxiety,1.0,Germany,Germany,DEU,DEU
6735,League of Legends,PC,16.0,I play for fun,improving,Platinum,0.0,20,Student at college / university,Master (or equivalent),Multiplayer - online - with real life friends,7.0,26,0,None,Dissatisfied,Minimal Anxiety,2.0,France,France,FRA,FRA
6751,League of Legends,PC,17.0,I play for fun,winning,Gold,20.0,21,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,7.0,20,3,None,Neutral,Minimal Anxiety,2.0,USA,USA,USA,USA
6764,World of Warcraft,PC,20.0,I play for fun,improving,Diamond,5.0,20,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with real life friends,31.0,23,7,Moderate,Slightly Dissatisfied,Mild Anxiety,4.0,Finland,Finland,FIN,FIN
6770,League of Legends,PC,25.0,I play for fun,improving,Platinum,10.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,22.0,24,3,Mild,Slightly Dissatisfied,Minimal Anxiety,2.0,Canada,Canada,CAN,CAN
6774,League of Legends,PC,17.0,I play for fun,winning,Platinum,4.0,18,Student at school,None,Multiplayer - online - with real life friends,32.0,14,4,Moderate,Satisfied,Minimal Anxiety,2.0,Bulgaria,Bulgaria,BGR,BGR
6777,League of Legends,PC,45.0,I play for fun,winning,Silver,14.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,6.0,6,10,None,Extremely Satisfied,Moderate Anxiety,2.0,USA,USA,USA,USA
6784,Starcraft 2,PC,25.0,I play for fun,winning,Diamond,3.0,26,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,9.0,6,12,None,Extremely Satisfied,Moderate Anxiety,2.0,Canada,Canada,CAN,CAN
6787,League of Legends,PC,20.0,I play for fun,improving,Gold,12.0,24,Employed,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,13.0,16,4,None,Slightly Satisfied,Minimal Anxiety,4.0,USA,Canada,USA,CAN
6800,League of Legends,PC,21.0,I play for fun,having fun,Platinum,7.0,18,Student at school,None,Multiplayer - online - with strangers,14.0,22,0,None,Slightly Dissatisfied,Minimal Anxiety,1.0,Denmark,Denmark,DNK,DNK
6801,League of Legends,PC,56.0,I play for fun,improving,Platinum,0.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,6.0,14,0,None,Satisfied,Minimal Anxiety,2.0,UK,UK,GBR,GBR
6807,League of Legends,PC,30.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Master,5.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,2.0,5,8,None,Extremely Satisfied,Mild Anxiety,3.0,USA,USA,USA,USA
6816,League of Legends,PC,10.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Diamond,15.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,39.0,12,6,Moderate,Satisfied,Mild Anxiety,1.0,USA,USA,USA,USA
6818,League of Legends,PC,28.0,I play for fun,winning,Silver,10.0,22,Employed,High school diploma (or equivalent),Multiplayer - online - with strangers,23.0,16,2,Mild,Slightly Satisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
6824,Counter Strike,PC,12.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Silver,2.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,18.0,25,5,None,Slightly Dissatisfied,Mild Anxiety,1.0,USA,USA,USA,USA
6833,League of Legends,PC,20.0,I play for fun,having fun,Platinum,10.0,21,Student at college / university,Master (or equivalent),Multiplayer - online - with real life friends,29.0,18,2,Mild,Slightly Satisfied,Minimal Anxiety,3.0,Germany,Germany,DEU,DEU
6852,League of Legends,PC,10.0,I play for fun,having fun,Platinum,25.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,13.0,23,3,None,Slightly Dissatisfied,Minimal Anxiety,2.0,USA,Canada,USA,CAN
6857,League of Legends,PC,14.0,I play for fun,having fun,Platinum,16.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,15.0,33,20,None,Extremely Dissatisfied, Severe Anxiety,1.0,Croatia,Croatia,HRV,HRV
6862,Counter Strike,PC,8.0,I play for fun,having fun,Silver,10.0,20,Student at college / university,None,Multiplayer - online - with online acquaintances or teammates,21.0,26,1,Mild,Dissatisfied,Minimal Anxiety,1.0,Russia,Russia,RUS,RUS
6863,League of Legends,PC,15.0,I play for fun,having fun,Silver,2.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,49.0,30,10,Severe,Dissatisfied,Moderate Anxiety,1.0,USA,USA,USA,USA
6872,League of Legends,PC,10.0,I play for fun,having fun,Gold,30.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,4.0,22,1,None,Slightly Dissatisfied,Minimal Anxiety,1.0,Germany,Iraq,DEU,IRQ
6882,League of Legends,PC,35.0,I play for fun,winning,Gold,25.0,18,Student at school,None,Multiplayer - online - with strangers,13.0,33,5,None,Extremely Dissatisfied,Mild Anxiety,3.0,USA,USA,USA,USA
6887,League of Legends,PC,30.0,I play for fun,winning,Platinum,8.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,31.0,28,0,Moderate,Dissatisfied,Minimal Anxiety,2.0,UK,UK,GBR,GBR
6893,League of Legends,PC,20.0,I play for fun,winning,Gold,15.0,30,Employed,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,14.0,18,4,None,Slightly Satisfied,Minimal Anxiety,1.0,Sweden,Sweden,SWE,SWE
6898,League of Legends,PC,10.0,I play for fun,winning,Gold,15.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,15.0,21,3,None,Slightly Dissatisfied,Minimal Anxiety,2.0,Russia,Russia,RUS,RUS
6909,League of Legends,PC,10.0,I play for fun,having fun,Silver,10.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,6.0,20,1,None,Neutral,Minimal Anxiety,1.0,Canada,Unknown,CAN,
6916,League of Legends,PC,6.0,I play for fun,having fun,Gold,8.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,20.0,24,0,None,Slightly Dissatisfied,Minimal Anxiety,1.0,Finland,Finland,FIN,FIN
