,Game,Platform,Hours,earnings,whyplay,League,streams,Age,Work,Degree,Playstyle,SPIN_T,SWL_T,GAD_T,Social_Anxiety,Life_Satisfaction,Anxiety_Level,Narcissism,Residence,Birthplace,Residence_ISO3,Birthplace_ISO3
3378,League of Legends,PC,50.0,I play for fun,improving,Diamond,20.0,21,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,4.0,35,15,None,Extremely Dissatisfied, Severe Anxiety,4.0,France,France,FRA,FRA
3379,League of Legends,PC,25.0,I play for fun,winning,Bronze,5.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,18.0,12,3,None,Satisfied,Minimal Anxiety,3.0,Canada,Canada,CAN,CAN
3383,League of Legends,PC,30.0,I play for fun,winning,Platinum,10.0,20,Employed,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,29.0,16,19,Mild,Slightly Satisfied, Severe Anxiety,1.0,Sweden,Sweden,SWE,SWE
3384,League of Legends,PC,30.0,I play for fun,winning,Diamond,20.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,19.0,13,17,None,Satisfied, Severe Anxiety,3.0,UK,UK,GBR,GBR
3388,League of Legends,PC,30.0,I play for fun,winning,Platinum,10.0,26,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,16.0,22,2,None,Slightly Dissatisfied,Minimal Anxiety,1.0,Canada,USA,CAN,USA
3405,League of Legends,PC,16.0,I play for fun,having fun,Silver,1.0,19,Student at school,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,12.0,24,3,None,Slightly Dissatisfied,Minimal Anxiety,3.0,Netherlands,Netherlands,NLD,NLD
3408,League of Legends,PC,18.0,I play for fun,having fun,Platinum,15.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,9.0,28,6,None,Dissatisfied,Mild Anxiety,1.0,Chile,Chile,CHL,CHL
3416,League of Legends,PC,15.0,I play for fun,having fun,Diamond,3.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,16.0,35,3,None,Extremely Dissatisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
3419,League of Legends,PC,20.0,I play for fun,improving,Silver,1.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,6.0,30,0,None,Dissatisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
3421,League of Legends,PC,30.0,I play for fun,winning,Bronze,3.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,30.0,9,13,Mild,Extremely Satisfied,Moderate Anxiety,3.0,Canada,India,CAN,IND
3431,League of Legends,PC,10.0,I play for fun,having fun,Platinum,3.0,22,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,4.0,17,5,None,Slightly Satisfied,Mild Anxiety,1.0,Portugal,Portugal,PRT,PRT
3438,Starcraft 2,PC,12.0,I play for fun,winning,Diamond,12.0,25,Employed,Bachelor (or equivalent),Multiplayer - online - with strangers,44.0,13,2,Severe,Satisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
3449,League of Legends,PC,21.0,I play for fun,winning,Gold,4.0,18,Student at school,None,Multiplayer - online - with strangers,29.0,15,2,Mild,Slightly Satisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
3456,League of Legends,PC,10.0,I play for fun,having fun,Platinum,20.0,22,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,11.0,22,14,None,Slightly Dissatisfied,Moderate Anxiety,1.0,Finland,Finland,FIN,FIN
3457,League of Legends,PC,10.0,I play for fun,winning,Gold,3.0,24,Employed,High school diploma (or equivalent),Singleplayer,18.0,19,3,None,Slightly Satisfied,Minimal Anxiety,3.0,USA,USA,USA,USA
3475,League of Legends,PC,5.0,I play for fun,improving,Silver,20.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,12.0,17,4,None,Slightly Satisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
3480,Diablo 3,PC,60.0,I play for fun,relaxing,Gold,20.0,21,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - offline (people in the same room),30.0,7,6,Mild,Extremely Satisfied,Mild Anxiety,1.0,Norway,Norway,NOR,NOR
3491,League of Legends,PC,20.0,I play for fun,having fun,Gold,5.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,22.0,18,1,Mild,Slightly Satisfied,Minimal Anxiety,1.0,UK,UK,GBR,GBR
3500,League of Legends,PC,30.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Diamond,5.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,28.0,30,4,Mild,Dissatisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
3504,League of Legends,PC,25.0,I play for fun,improving,Bronze,1.0,27,Unemployed / between jobs,None,Multiplayer - online - with strangers,16.0,13,3,None,Satisfied,Minimal Anxiety,2.0,Canada,Canada,CAN,CAN
3508,League of Legends,PC,20.0,I play for fun,improving,Gold,20.0,21,Employed,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,13.0,20,1,None,Neutral,Minimal Anxiety,1.0,UK,UK,GBR,GBR
3512,League of Legends,PC,16.0,I play for fun,having fun,Silver,20.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,13.0,6,1,None,Extremely Satisfied,Minimal Anxiety,2.0,Italy,Montenegro,ITA,MNE
3518,Other,PC,18.0,I play for fun,improving,Silver,4.0,19,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,25.0,17,3,Mild,Slightly Satisfied,Minimal Anxiety,1.0,Canada,Canada,CAN,CAN
3535,Other,PC,40.0,I play for fun,improving,Diamond,25.0,22,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with strangers,25.0,7,21,Mild,Extremely Satisfied, Severe Anxiety,5.0,UK,UK,GBR,GBR
3540,League of Legends,PC,25.0,I play for fun,having fun,Gold,2.0,19,Student at school,None,Multiplayer - online - with strangers,45.0,13,14,Severe,Satisfied,Moderate Anxiety,2.0,Poland,Poland,POL,POL
3544,League of Legends,PC,8.0,I play for fun,having fun,Platinum,5.0,21,Student at college / university,None,Multiplayer - online - with online acquaintances or teammates,15.0,12,4,None,Satisfied,Minimal Anxiety,1.0,Hungary,Hungary,HUN,HUN
3546,League of Legends,PC,14.0,I play for fun,having fun,Gold,1.0,24,Student at college / university,Master (or equivalent),Multiplayer - online - with online acquaintances or teammates,4.0,16,2,None,Slightly Satisfied,Minimal Anxiety,2.0,UK,UK,GBR,GBR
3552,Counter Strike,PC,20.0,I play for fun,having fun,Bronze,5.0,18,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,15.0,16,3,None,Slightly Satisfied,Minimal Anxiety,2.0,Canada,Canada,CAN,CAN
3555,League of Legends,PC,20.0,I play for fun,winning,Silver,10.0,23,Employed,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,42.0,8,12,Severe,Extremely Satisfied,Moderate Anxiety,4.0,USA,USA,USA,USA
3556,Other,PC,20.0,I play for fun,having fun,Silver,2.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,49.0,22,7,Severe,Slightly Dissatisfied,Mild Anxiety,1.0,Germany,Germany,DEU,DEU
3558,League of Legends,PC,10.0,I play for fun,having fun,Gold,5.0,23,Employed,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,13.0,29,8,None,Dissatisfied,Mild Anxiety,1.0,Panama,Panama,PAN,PAN
3567,League of Legends,PC,30.0,I play for fun,having fun,Bronze,5.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,2.0,27,3,None,Dissatisfied,Minimal Anxiety,1.0,USA,Czech Republic,USA,CZE
3579,League of Legends,PC,15.0,I play for fun,having fun,Silver,4.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,20.0,16,10,None,Slightly Satisfied,Moderate Anxiety,4.0,Sweden,Sweden,SWE,SWE
3580,League of Legends,PC,24.0,I play for fun,having fun,Platinum,10.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,25.0,21,12,Mild,Slightly Dissatisfied,Moderate Anxiety,2.0,Netherlands,Netherlands,NLD,NLD
3596,League of Legends,PC,14.0,I play for fun,having fun,Master,4.0,19,Student at school,None,Multiplayer - online - with real life friends,14.0,25,2,None,Slightly Dissatisfied,Minimal Anxiety,1.0,Poland,Poland,POL,POL
3598,League of Legends,PC,14.0,I play for fun,having fun,Diamond,10.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,8.0,23,3,None,Slightly Dissatisfied,Minimal Anxiety,3.0,Finland,Finland,FIN,FIN
3601,League of Legends,PC,30.0,I play for fun,improving,Platinum,8.0,19,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,16.0,20,6,None,Neutral,Mild Anxiety,4.0,Germany,Germany,DEU,DEU
3607,League of Legends,PC,20.0,I play for fun,improving,Silver,5.0,28,Employed,Bachelor (or equivalent),Multiplayer - online - with strangers,5.0,28,0,None,Dissatisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
3628,League of Legends,PC,15.0,I play for fun,having fun,Diamond,12.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,6.0,14,1,None,Satisfied,Minimal Anxiety,1.0,UK,UK,GBR,GBR
3639,League of Legends,PC,20.0,I play for fun,improving,Platinum,18.0,18,Student at school,None,Multiplayer - online - with real life friends,30.0,23,7,Mild,Slightly Dissatisfied,Mild Anxiety,1.0,Germany,Germany,DEU,DEU
3642,League of Legends,PC,15.0,I play for fun,having fun,Silver,30.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,45.0,17,8,Severe,Slightly Satisfied,Mild Anxiety,2.0,Hungary,Hungary,HUN,HUN
3645,Starcraft 2,PC,15.0,I play for fun,improving,Platinum,5.0,35,Employed,"Ph.D., Psy. D., MD (or equivalent)",Multiplayer - online - with strangers,16.0,32,0,None,Extremely Dissatisfied,Minimal Anxiety,3.0,Spain,Spain,ESP,ESP
3682,League of Legends,PC,14.0,I play for fun,having fun,Bronze,2.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,7.0,14,1,None,Satisfied,Minimal Anxiety,1.0,Germany,Germany,DEU,DEU
3686,League of Legends,PC,10.0,I play for fun,improving,Platinum,2.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,7.0,20,4,None,Neutral,Minimal Anxiety,3.0,USA,Spain,USA,ESP
3705,League of Legends,PC,35.0,I play for fun,having fun,Platinum,1.0,18,Student at college / university,None,Multiplayer - online - with online acquaintances or teammates,0.0,20,5,None,Neutral,Mild Anxiety,1.0,UK,Finland,GBR,FIN
3708,League of Legends,PC,15.0,I play for fun,having fun,Silver,8.0,23,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,24.0,11,11,Mild,Satisfied,Moderate Anxiety,1.0,Italy,Italy,ITA,ITA
3715,League of Legends,PC,21.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Platinum,10.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,41.0,24,0,Severe,Slightly Dissatisfied,Minimal Anxiety,2.0,Singapore,Singapore,SGP,SGP
3731,League of Legends,PC,25.0,I play for fun,improving,Platinum,5.0,18,Unemployed / between jobs,None,Multiplayer - online - with online acquaintances or teammates,21.0,5,6,Mild,Extremely Satisfied,Mild Anxiety,1.0,Slovenia,Slovenia,SVN,SVN
